id,item,domein,subdomein,type,frequentie,eenheid_doel,belang_1_5,effort,bewijskracht,toelichting
H040,Tongpositie/mondademing corrigeren ('s nachts),"Uiterlijk, Verzorging & Houding",Skincare/gezondheid,Habit,Dagelijks,checkbox,2,Gemiddeld,1 bron,
H041,Koude douche nemen,"Uiterlijk, Verzorging & Houding",Koude blootstelling,Habit,Dagelijks,checkbox,2,Hoog,3 bronnen,
H042,Bloedwaarden laten testen,"Uiterlijk, Verzorging & Houding",Gezondheid opvolgen,Milestone/eenmalig,Per kwartaal/jaar,reminder,3,Laag,1 bron,
H043,"Neutrale, kwaliteitsvolle garderobe opbouwen","Uiterlijk, Verzorging & Houding",Garderobe,Milestone/eenmalig,Eenmalig (dan onderhouden),checkbox,2,Gemiddeld,3 bronnen,
H044,Olijfolie i.p.v. koffie als eerste 's ochtends,"Uiterlijk, Verzorging & Houding",Anti-aging swap,Habit,Dagelijks,checkbox,2,Laag,1 bron,
H045,Zijden kussensloop i.p.v. katoen,"Uiterlijk, Verzorging & Houding",Anti-aging swap,Milestone/eenmalig,Eenmalige aanschaf,checkbox,2,Laag,1 bron,
H046,Rood licht na 19u i.p.v. fel wit licht,"Uiterlijk, Verzorging & Houding",Anti-aging swap,Habit,Dagelijks,checkbox,2,Gemiddeld,1 bron,
H047,"SPF elke dag, ongeacht seizoen","Uiterlijk, Verzorging & Houding",Anti-aging swap,Habit,Dagelijks,checkbox,3,Laag,3 bronnen,
H048,Lees minstens 10 pagina's per dag (non-fictie),Mindset & Persoonlijke Groei,Leren,Habit,Dagelijks,pagina's (numeriek),4,Laag,5 bronnen,
H049,"Wekelijkse journal-review (zondag: wat werkte, wat niet)",Mindset & Persoonlijke Groei,Leren,Habit,Wekelijks,checkbox,3,Laag,2 bronnen,
H050,Kort dagelijks journalen (wie je aan het worden bent),Mindset & Persoonlijke Groei,Leren,Habit,Dagelijks,checkbox,2,Laag,1 bron,
H051,Beloftes aan jezelf nakomen (zelf-tracking),Mindset & Persoonlijke Groei,Zelfvertrouwen,Habit,Wekelijkse zelfcheck,checkbox,3,Gemiddeld,1 bron,
H052,Wekelijks iets doen dat je licht ongemakkelijk maakt,Mindset & Persoonlijke Groei,Zelfvertrouwen,Habit,Wekelijks,checkbox,3,Gemiddeld,3 bronnen,
H053,Voortgang op je 6-12 maanden vaardigheid/gewoonte checken,Mindset & Persoonlijke Groei,Discipline,Habit,Maandelijks,checkbox/log,4,Hoog,3 bronnen,
H054,Bewust nee zeggen tegen iets dat energie kost,Mindset & Persoonlijke Groei,Discipline,Habit,Wekelijks,checkbox,3,Gemiddeld,2 bronnen,
H055,Eén 'side quest' doen (kleine actie uit de sleur),Mindset & Persoonlijke Groei,Verrijking,Habit,Wekelijks,checkbox (kies uit lijst),2,Laag,1 bron,Zie Challenges voor de 20 opties.
H056,"Zelfcheck: reageerde ik, of react-te ik vandaag?",Mindset & Persoonlijke Groei,Zelfbeheersing,Habit,Dagelijks,checkbox/rating,3,Gemiddeld,1 bron,
H057,Plan morgen vanavond (planning + belangrijkste taak),Productiviteit & Systemen,Avondplanning,Habit,Dagelijks,checkbox,5,Laag,4-5 bronnen,Sterkst onderbouwde productiviteitsregel.
H058,"Ochtend beschermen (vast vroeg opstaan, eerste uur voor jezelf)",Productiviteit & Systemen,Ochtendroutine,Habit,Dagelijks,checkbox + tijdstip,4,Gemiddeld,2 bronnen,
H059,3 niet-onderhandelbare dingen doen vóór 9u,Productiviteit & Systemen,Ochtendroutine,Habit,Dagelijks,checkbox (0-3),3,Gemiddeld,1 bron,
H060,Wekelijkse life-audit / weekplanning,Productiviteit & Systemen,Review-ritme,Habit,Wekelijks,checkbox,4,Gemiddeld,2 bronnen,
H061,Inbox opruimen,Productiviteit & Systemen,Review-ritme,Habit,Wekelijks,checkbox,2,Laag,1 bron,
H062,Maandelijkse doelen-review,Productiviteit & Systemen,Review-ritme,Habit,Maandelijks,checkbox,3,Gemiddeld,1 bron,
H063,Selfless/selfish-uren blokkeren in agenda,Productiviteit & Systemen,Grenzen,Habit,Wekelijks,checkbox,3,Gemiddeld,1 bron,
H064,1 volledige dag per week social-media-vrij,Productiviteit & Systemen,Digitale grenzen,Habit,Wekelijks,checkbox,3,Hoog,1 bron,
H065,Telefoon weg tijdens gesprekken,Productiviteit & Systemen,Digitale grenzen,Habit,Dagelijks,checkbox,3,Laag,2 bronnen,
H066,Doomscrollen-avondcheck (gehaald: geen scrollen?),Productiviteit & Systemen,Digitale grenzen,Habit,Dagelijks,checkbox,3,Gemiddeld,3 bronnen,
H067,1 weekend per maand actief blokkeren in de agenda,Productiviteit & Systemen,Vrije tijd,Habit,Maandelijks,checkbox,3,Gemiddeld,1 bron,
H068,"Oogcontact-techniek toepassen (glimlach eerst, 3-5s, 50/70-regel)",Sociale Vaardigheid & Communicatie,Oogcontact,Habit,Doorlopend/situationeel,checkbox,3,Gemiddeld,5 bronnen,
H069,Pauzeren voor je antwoordt in een gesprek,Sociale Vaardigheid & Communicatie,Communicatie,Habit,Doorlopend/situationeel,checkbox,2,Gemiddeld,2 bronnen,
H070,Eén keer per week bewust 'nee' zeggen zonder uitleg,Sociale Vaardigheid & Communicatie,Grenzen,Habit,Wekelijks,checkbox,3,Gemiddeld,1 bron,
H071,Actief om iets vragen (opslag/deal/'ja'),Sociale Vaardigheid & Communicatie,Assertiviteit,Milestone/eenmalig,Bij gelegenheid,checkbox,2,Hoog,1 bron,
H072,Tijd investeren in inspirerende mensen/gelijkgestemden,Sociale Vaardigheid & Communicatie,Sociale kring,Habit,Wekelijks,checkbox,3,Gemiddeld,3 bronnen,
H073,Ouders bellen / familie-etentje,"Relaties, Gezin & Ouderschap",Relaties onderhouden,Habit,Wekelijks,checkbox,4,Laag,1 bron,
H074,Op de grond spelen met je kinderen,"Relaties, Gezin & Ouderschap",Aanwezigheid,Habit,Dagelijks,checkbox,4,Laag,1 bron,
H075,"Maandelijkse koppel-check-in (dankbaarheid, ouchies, energie, financiën, agenda)","Relaties, Gezin & Ouderschap",Koppel,Habit,Maandelijks,checkbox (5 subpunten),5,Gemiddeld,1 bron (5-punts systeem),
H076,Gedrag-i.p.v.-identiteit taal gebruiken bij het corrigeren van kinderen,"Relaties, Gezin & Ouderschap",Opvoeding,Habit,Doorlopend,checkbox/zelfcheck,4,Gemiddeld,1 bron,
H077,De 10 huwelijksgesprekken voeren,"Relaties, Gezin & Ouderschap",Vóór het huwelijk,Milestone/eenmalig,Eenmalig,checklist (10 items),5,Hoog,1 bron (coherente set),
H078,De 7 zwangerschapsgesprekken voeren,"Relaties, Gezin & Ouderschap",Vóór een zwangerschap,Milestone/eenmalig,Eenmalig,checklist (7 items),5,Hoog,1 bron (coherente set),
H079,"Informele bijeenkomst organiseren (kom-en-ga, geen formeel diner)",Gastvrijheid & Sociale Verbinding,Gastvrijheid,Habit,Maandelijks,checkbox,5,Gemiddeld,3 onafhankelijke bronnen,Sterkst onderbouwde levensles in de hele collectie.
H080,Gasten laten meehelpen i.p.v. alles perfect willen maken,Gastvrijheid & Sociale Verbinding,Gastvrijheid,Habit,Bij elke bijeenkomst,checkbox,3,Laag,3 bronnen,
H081,Open-deurbeleid toepassen (drempel verlagen voor spontaan bezoek),Gastvrijheid & Sociale Verbinding,Gastvrijheid,Habit,Doorlopend,checkbox,3,Gemiddeld,3 bronnen,
H082,Sparen/investeren automatiseren vóór je uitgeeft,Financiën & Ondernemerschap,Financiële discipline,Habit,Maandelijks,checkbox/bedrag,4,Laag,2 bronnen,
H083,Financiën op 1 overzichtspagina bijhouden,Financiën & Ondernemerschap,Financiële discipline,Habit,Maandelijks,checkbox,3,Gemiddeld,1 bron,
H084,CEO-uur: eerste uur van de dag enkel strategie,Financiën & Ondernemerschap,Systemen,Habit,Dagelijks,checkbox,3,Gemiddeld,1 bron,
H085,No-meeting blok voor deep work,Financiën & Ondernemerschap,Systemen,Habit,Wekelijks,checkbox,3,Gemiddeld,1 bron,
H086,Klantenbestand doorlichten (onderste 20% eruit),Financiën & Ondernemerschap,Verkopen & klanten,Habit,Per kwartaal,checkbox,2,Hoog,1 bron,
H087,Cashflow checken (niet enkel winst op papier),Financiën & Ondernemerschap,Financiële discipline,Habit,Maandelijks,checkbox,3,Laag,1 bron,
H088,Betaal voor iemands koffie en loop weg zonder iets te zeggen,"Challenges (uit de life-guide, ter inspiratie)",Stille aanwezigheid,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H089,Stap een luxewinkel binnen en stel een vraag met zelfvertrouwen,"Challenges (uit de life-guide, ter inspiratie)",Stille aanwezigheid,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H090,Lees een hardcover boek op een rustige publieke plek,"Challenges (uit de life-guide, ter inspiratie)",Stille aanwezigheid,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H091,Ga naar een rooftop bar en maak connectie met een vreemde,"Challenges (uit de life-guide, ter inspiratie)",Stille aanwezigheid,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H092,Drink een espresso in een café zonder iets te zeggen,"Challenges (uit de life-guide, ter inspiratie)",Stille aanwezigheid,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H093,Wandel alleen door een luxueuze buurt,"Challenges (uit de life-guide, ter inspiratie)",Stille aanwezigheid,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H094,"Breng een uur door op een kunstveiling, observeer in stilte","Challenges (uit de life-guide, ter inspiratie)",Stille aanwezigheid,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H095,24 uur geen schermen (vrijdag-zaterdag),"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H096,Ruim elke mail op die je een achterstandsgevoel geeft,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H097,Koop een onbekend ingrediënt en kook ermee,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H098,10 minuten koffie bij het raam zonder scrollen,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H099,Lees 3 pagina's in een boekwinkel-sectie die je normaal negeert,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H100,Verken een buurt 20 minuten verderop zonder GPS,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H101,Herschik één kamer om de visuele sleur te doorbreken,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H102,Kijk naar de zonsondergang tot de eerste ster verschijnt,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H103,30 minuten iets doen wat je op je tiende graag deed,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H104,Stuur een fysieke brief naar iemand uit je verleden,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H105,Eén avondmaal zonder telefoon (in de auto laten),"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H106,4 uur besteden aan iets zonder carrièrevoordeel,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H107,Eén namiddag podcasts inruilen voor lofi/jazz,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H108,Met klei iets onvolmaakts maken,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H109,Eén werkfout waar je op blijft piekeren bewust loslaten,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H110,Het eerste buurtevenement bijwonen dat je op een flyer ziet,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H111,Drie oprechte complimenten geven aan vreemden,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H112,Je meest gebruikte app 72 uur verwijderen,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H113,Elke 'zou moeten' opschrijven tot je hoofd leeg is,"Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H114,"De goede kaarsen en dure koffie gebruiken, gewoon omdat het kan","Challenges (uit de life-guide, ter inspiratie)",Sleur doorbreken,"Challenge (speels, incidenteel)",Incidenteel,checkbox,1,Laag,1 bron (uit een lijst van 8-20 varianten),
H115,Vraagt iemand om een foto/video te verwijderen? Doe het meteen.,Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H116,Wacht altijd op mensen die hun schoenveter strikken.,Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H117,Wijs nooit iemands gebreken of onzekerheden aan.,Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H118,Maak geen plannen waar iemand bij is die niet is uitgenodigd.,Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H119,"Verpest het geloof van een kind niet (Kerstman, tandenfee...).",Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H120,"Praat nooit over iemands kleren, schoenen, huis of auto.",Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H121,Forceer je overtuigingen niet op iemand anders.,Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H122,Bied je eten aan wie niets heeft.,Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
H123,Zet geen luide muziek in het openbaar.,Sociale Vaardigheid & Communicatie,Ongeschreven etiquette,Contextuele herinnering,Situationeel,n.v.t. (herinnering),2,Laag,1 bron,
